model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,TRUE,NONE,0.001445,0.009275,3.7e-05,0.0,13824,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,2,FALSE,NONE,0.000113,0.000383,2.3e-05,0.0,14196,TRUE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0010,3,TRUE,NONE,0.000135,0.000231,7.8e-05,0.045101,148312,FALSE,1129,20,15,15,15,23,27,23,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0010,4,TRUE,NONE,9.8e-05,0.000274,4e-05,0.0,13848,TRUE,1129,20,15,18,15,26,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,5,TRUE,NONE,0.000116,0.000248,3.8e-05,0.0,14228,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,6,FALSE,NONE,0.000116,0.000243,4.7e-05,0.039458,147496,FALSE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0010,7,TRUE,NONE,7.4e-05,0.000264,4e-05,0.0,13844,TRUE,1129,20,15,18,15,26,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,8,FALSE,NONE,9.5e-05,0.000272,4.2e-05,0.043981,147604,FALSE,1129,20,15,17,15,25,27,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0010,9,FALSE,NONE,0.000113,0.00023,3.9e-05,0.040401,147684,FALSE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0010,10,TRUE,NONE,9e-05,0.000265,2.3e-05,0.0,14192,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,11,FALSE,NONE,0.000128,0.000244,7.2e-05,0.0,0,TRUE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,12,FALSE,NONE,0.000116,0.000254,2.2e-05,0.042531,147796,FALSE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,13,TRUE,NONE,0.000112,0.000241,4.1e-05,0.042343,147496,FALSE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,14,FALSE,NONE,0.000116,0.000238,6.4e-05,0.0,0,TRUE,1,20,15,15,15,23,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,15,FALSE,NONE,0.000129,0.000257,3.7e-05,0.0,0,TRUE,1,20,15,17,15,25,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
AirplaneLD-COL-0010,16,TRUE,NONE,9.3e-05,0.00025,4e-05,0.0,13828,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,1,FALSE,NONE,0.001463,0.009505,2.3e-05,0.046759,147500,FALSE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0020,2,TRUE,NONE,0.000108,0.000255,2.4e-05,0.0,14208,TRUE,1129,20,15,17,15,25,27,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0020,3,FALSE,NONE,0.000122,0.000231,2.2e-05,0.043676,147612,FALSE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0020,4,TRUE,NONE,0.000107,0.000272,2.3e-05,0.0,13844,TRUE,1129,20,15,18,15,26,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0020,5,FALSE,NONE,0.000146,0.000232,7e-05,0.040701,147760,FALSE,1129,20,15,15,15,23,27,23,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0020,6,TRUE,NONE,0.000121,0.000233,3.9e-05,0.0,14188,TRUE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0020,7,TRUE,NONE,4.5e-05,0.000273,2.4e-05,0.0,13844,TRUE,1129,20,15,19,15,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
