model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,TRUE,NONE,0.0,0.000292,4.7e-05,0.0,13844,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,0.0,0.000292,4.7e-05,0.0,14220,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,3,TRUE,NONE,0.0,0.00029,7.7e-05,0.048665,148340,FALSE,1129,20,15,20,15,28,27,23,26,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,4,TRUE,NONE,0.0,0.000294,4.5e-05,0.0,13860,TRUE,1129,20,15,20,15,28,27,26,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,0.0,0.000295,5.3e-05,0.0,14248,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,0.0,0.000291,5.2e-05,0.053707,147516,FALSE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,0.0,0.000294,4.7e-05,0.0,13860,TRUE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,0.0,0.000289,6e-05,0.047471,147624,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,9,FALSE,NONE,0.0,0.000299,4.5e-05,0.048011,147704,FALSE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,0.0,0.000286,5e-05,0.0,14212,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,11,FALSE,NONE,0.0,0.000319,6.9e-05,0.0,0,TRUE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,12,FALSE,NONE,0.0,0.000285,4.6e-05,0.049723,147816,FALSE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,0.0,0.00029,4.9e-05,0.045161,147516,FALSE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,0.0,0.000282,6.2e-05,0.0,0,TRUE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,15,FALSE,NONE,0.0,0.000284,6.2e-05,0.0,0,TRUE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,0.0,0.000295,5e-05,0.0,13848,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,0.0,0.000285,4.7e-05,0.054177,147620,FALSE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,2,TRUE,NONE,0.0,0.000294,4.8e-05,0.0,14232,TRUE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,3,FALSE,NONE,0.0,0.000288,4.6e-05,0.048352,147636,FALSE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,4,TRUE,NONE,0.0,0.000283,6.3e-05,0.0,13860,TRUE,1129,20,15,20,15,28,27,26,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,5,FALSE,NONE,0.0,0.000287,7.4e-05,0.049241,147780,FALSE,1129,20,15,20,15,28,27,23,26,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,0.0,0.000282,5e-05,0.0,14204,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,7,TRUE,NONE,0.0,0.000317,5e-05,0.0,13860,TRUE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,8,TRUE,NONE,0.0,0.000286,5e-05,0.0,13856,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,0.0,0.000323,4.7e-05,0.0,13848,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,10,TRUE,NONE,0.0,0.000289,4.9e-05,0.053496,148240,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,11,FALSE,NONE,0.0,0.000288,6.8e-05,0.0,0,TRUE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.0,0.000284,5e-05,0.047592,147700,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,NONE,0.0,0.000286,7.8e-05,0.0,13840,TRUE,1129,20,15,20,15,28,27,23,26,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,14,TRUE,NONE,0.0,0.000287,5e-05,0.049358,147736,FALSE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,15,FALSE,NONE,0.0,0.000297,5e-05,0.0,14204,TRUE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,16,TRUE,NONE,0.0,0.000286,5.1e-05,0.05403,147492,FALSE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,1,FALSE,NONE,0.0,0.000284,4.7e-05,0.0,13856,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,2,TRUE,NONE,0.0,0.000305,4.8e-05,0.0,13864,TRUE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,3,FALSE,NONE,0.0,0.000281,4.7e-05,0.0,14212,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,4,FALSE,NONE,0.0,0.000261,4.3e-05,0.0,13844,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,5,TRUE,NONE,0.0,0.000306,5.9e-05,0.0,14232,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,6,TRUE,NONE,0.0,0.000324,7.5e-05,0.0,13848,TRUE,1129,20,15,20,15,28,27,24,26,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,7,TRUE,NONE,0.0,0.000298,7.7e-05,0.0,13844,TRUE,1129,20,15,20,15,28,27,24,26,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
