model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5,rule 6
AirplaneLD-COL-0010,1,NONE,V,0.047822,0.011389,9.4e-05,0.0,4044,FALSE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,0.000256,0.000333,0.00028,0.0,3952,TRUE,5,20,15,20,15,28,27,7,4,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,0.000226,0.000385,7.8e-05,0.0,3568,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,0.000197,0.000323,0.000269,0.0,3992,TRUE,23,20,15,20,15,28,27,14,11,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,0.000189,0.000325,0.000284,0.0,4044,TRUE,201,20,15,20,15,28,27,16,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,0.000185,0.000322,0.000416,0.0,4060,TRUE,97,20,15,20,15,28,27,17,17,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,0.000204,0.000345,0.000352,0.002588,5692,FALSE,73,20,15,20,15,28,27,17,17,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,0.000289,0.000498,0.000258,0.0,4052,TRUE,235,20,15,20,15,28,27,22,20,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,0.000229,0.000319,0.000207,0.0,3980,TRUE,38,20,15,20,15,28,27,13,11,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,0.000196,0.000375,0.000322,0.0,3992,TRUE,8,20,15,20,15,28,27,11,8,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,0.000236,0.000397,6.8e-05,0.0,3576,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,0.000238,0.000392,0.000349,0.0,3988,TRUE,33,20,15,20,15,28,27,15,13,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,0.00021,0.000385,0.00023,0.003178,5692,FALSE,25,20,15,20,15,28,27,13,11,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,0.000287,0.000334,0.000287,0.002783,5692,FALSE,5,20,15,20,15,28,27,7,4,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,NONE,0.000191,0.000332,0.000521,0.0,4020,TRUE,148,20,15,20,15,28,27,17,16,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,0.000228,0.000388,0.000276,0.0,4000,TRUE,12,20,15,20,15,28,27,11,9,0,1,0,6,0,1,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,0.04766,0.011005,0.000258,0.002569,5692,FALSE,49,20,15,20,15,28,27,15,15,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,2,FALSE,NONE,0.000203,0.000418,0.000329,0.0,3960,TRUE,5,20,15,20,15,28,27,6,4,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,3,TRUE,NONE,0.000229,0.000388,0.000326,0.0,4068,TRUE,49,20,15,20,15,28,27,14,20,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,4,FALSE,NONE,0.000185,0.000327,0.000381,0.002237,5692,FALSE,5,20,15,20,15,28,27,8,4,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,5,TRUE,NONE,0.00021,0.000339,6e-05,0.0,3572,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,0.000214,0.000332,0.000181,0.001968,5692,FALSE,3,20,15,20,15,28,27,6,2,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,NONE,0.000212,0.000325,0.000204,0.0,4076,TRUE,745,20,15,20,15,28,27,22,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,8,FALSE,NONE,0.00023,0.000392,6.1e-05,0.0,3572,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,0.000185,0.000317,0.000211,0.0,4020,TRUE,31,20,15,20,15,28,27,15,13,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,NONE,0.000203,0.000342,0.000357,0.0,4008,TRUE,25,20,15,20,15,28,27,13,11,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,11,TRUE,NONE,0.000202,0.000341,6.1e-05,0.0,3576,TRUE,1,20,15,20,15,28,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.0002,0.00034,0.000431,0.0,3956,TRUE,5,20,15,20,15,28,27,6,4,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,NONE,0.000192,0.000327,0.00029,0.002491,5692,FALSE,25,20,15,20,15,28,27,14,13,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,14,FALSE,NONE,0.000198,0.000336,0.000405,0.0,4004,TRUE,47,20,15,20,15,28,27,15,13,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,15,TRUE,NONE,0.000308,0.000424,0.000441,0.0,4032,TRUE,105,20,15,20,15,28,27,18,17,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0020,16,FALSE,NONE,0.000188,0.000325,0.000148,0.002553,5688,FALSE,6,20,15,20,15,28,27,5,3,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0050,1,TRUE,NONE,0.047771,0.01096,0.000126,0.001883,5656,FALSE,6,20,15,20,15,28,27,5,3,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0050,2,TRUE,NONE,0.000194,0.000341,0.000166,0.0,3940,TRUE,3,20,15,20,15,28,27,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0050,3,FALSE,NONE,0.000258,0.000447,0.000278,0.0,4020,TRUE,77,20,15,20,15,28,27,15,16,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0050,4,FALSE,NONE,0.000289,0.000508,0.000168,0.0,3924,TRUE,3,20,15,20,15,28,27,6,2,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0050,5,TRUE,NONE,0.000201,0.000348,0.000249,0.0,3596,TRUE,5,20,15,20,15,28,27,7,4,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0050,6,FALSE,NONE,0.000198,0.000389,0.000251,0.0,3624,TRUE,13,20,15,20,15,28,27,10,8,0,8,0,3,0,0,0,0,1,0,0,0,0,0,0,0
