model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,2.4e-05,0.000375,5.8e-05,0.0,4080,FALSE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,3.2e-05,0.00034,0.000426,0.0,3992,TRUE,5,20,15,20,15,28,27,7,4,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,2.8e-05,0.000437,8.5e-05,0.0,3604,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,2.9e-05,0.000346,0.000324,0.0,4028,TRUE,23,20,15,20,15,28,27,14,11,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,3.2e-05,0.000449,0.000282,0.0,4076,TRUE,201,20,15,20,15,28,27,16,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,2.6e-05,0.000449,0.000581,0.0,4092,TRUE,97,20,15,20,15,28,27,17,17,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,2.4e-05,0.000341,0.000226,0.003146,5724,FALSE,73,20,15,20,15,28,27,17,17,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,2.4e-05,0.000373,0.00023,0.0,4084,TRUE,235,20,15,20,15,28,27,22,20,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,2.6e-05,0.000336,0.00021,0.0,4012,TRUE,38,20,15,20,15,28,27,13,11,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,2.6e-05,0.000445,0.000224,0.0,4024,TRUE,8,20,15,20,15,28,27,11,8,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,2.5e-05,0.000399,9.3e-05,0.0,3608,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,2.2e-05,0.000345,0.000345,0.0,4020,TRUE,33,20,15,20,15,28,27,15,13,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,2.3e-05,0.000396,0.000229,0.002555,5724,FALSE,25,20,15,20,15,28,27,13,11,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,2.8e-05,0.000394,0.000229,0.003203,5724,FALSE,5,20,15,20,15,28,27,7,4,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,NONE,3.2e-05,0.000439,0.00052,0.0,4048,TRUE,148,20,15,20,15,28,27,17,16,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,3.1e-05,0.000339,0.000314,0.0,4032,TRUE,12,20,15,20,15,28,27,11,9,0,1,0,6,0,1,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,4e-05,0.00054,0.000383,0.002414,5724,FALSE,49,20,15,20,15,28,27,15,15,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,2,FALSE,NONE,2.9e-05,0.000399,0.000419,0.0,3992,TRUE,5,20,15,20,15,28,27,6,4,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,3,TRUE,NONE,3.5e-05,0.000341,0.000359,0.0,4100,TRUE,49,20,15,20,15,28,27,14,20,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,4,FALSE,NONE,2.4e-05,0.000335,0.000241,0.001983,5724,FALSE,5,20,15,20,15,28,27,8,4,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,5,TRUE,NONE,3e-05,0.000389,5.8e-05,0.0,3604,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,2.5e-05,0.000351,0.000182,0.002552,5724,FALSE,3,20,15,20,15,28,27,6,2,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,NONE,2.4e-05,0.000339,0.000316,0.0,4112,TRUE,745,20,15,20,15,28,27,22,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,8,FALSE,NONE,2.6e-05,0.000403,8.5e-05,0.0,3600,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,2.2e-05,0.000339,0.000291,0.0,4052,TRUE,31,20,15,20,15,28,27,15,13,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,NONE,2.3e-05,0.000349,0.000285,0.0,4044,TRUE,25,20,15,20,15,28,27,13,11,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,11,TRUE,NONE,3.4e-05,0.000499,6.4e-05,0.0,3608,TRUE,1,20,15,20,15,28,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,2.6e-05,0.000396,0.000336,0.0,3988,TRUE,5,20,15,20,15,28,27,6,4,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,NONE,2.4e-05,0.000406,0.000273,0.002167,5724,FALSE,25,20,15,20,15,28,27,14,13,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,14,FALSE,NONE,2.4e-05,0.000402,0.000323,0.0,4036,TRUE,47,20,15,20,15,28,27,15,13,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,15,TRUE,NONE,2.6e-05,0.0004,0.000415,0.0,4068,TRUE,105,20,15,20,15,28,27,18,17,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0020,16,FALSE,NONE,2.3e-05,0.000359,0.000144,0.002825,5724,FALSE,6,20,15,20,15,28,27,5,3,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0
