model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,9.1e-05,0.000282,5e-05,0.0,4072,FALSE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,2,FALSE,NONE,6.8e-05,0.000307,0.000266,0.0,3992,TRUE,5,20,15,17,15,25,27,7,4,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0010,3,FALSE,NONE,8.1e-05,0.000268,9e-05,0.0,3608,TRUE,2,20,15,15,15,23,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,4,FALSE,NONE,8.6e-05,0.000345,0.000253,0.0,4028,TRUE,23,20,15,16,15,24,27,14,11,0,2,0,5,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,5,TRUE,NONE,0.000112,0.00036,0.000371,0.0,4076,TRUE,201,20,15,15,15,23,27,16,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,6,FALSE,NONE,6.4e-05,0.00031,0.000358,0.0,4088,TRUE,97,20,15,18,15,26,27,17,17,0,3,0,5,0,1,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,7,TRUE,NONE,8.6e-05,0.000284,0.000259,0.003163,5724,FALSE,73,20,15,16,15,24,27,17,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,8,FALSE,NONE,4.7e-05,0.000336,0.000221,0.0,4080,TRUE,235,20,15,18,15,26,27,22,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,9,TRUE,NONE,8.5e-05,0.000371,0.000206,0.0,4012,TRUE,38,20,15,16,15,24,27,13,11,0,1,0,5,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,10,TRUE,NONE,8.8e-05,0.000259,0.000177,0.0,4024,TRUE,8,20,15,15,15,23,27,11,8,0,3,0,4,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,11,TRUE,NONE,8.7e-05,0.000278,6.5e-05,0.0,3604,TRUE,2,20,15,16,15,24,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,12,TRUE,NONE,6.6e-05,0.000333,0.000302,0.0,4024,TRUE,33,20,15,17,15,25,27,15,13,0,1,0,5,0,1,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0010,13,TRUE,NONE,9.3e-05,0.000425,0.000221,0.001822,5724,FALSE,25,20,15,16,15,24,27,13,11,0,1,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,14,FALSE,NONE,9.1e-05,0.000273,0.000217,0.002172,5724,FALSE,5,20,15,15,15,23,27,7,4,1,1,0,4,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,15,TRUE,NONE,4.1e-05,0.000303,0.000442,0.0,4048,TRUE,148,20,15,18,15,26,27,17,16,0,3,0,5,0,1,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,16,TRUE,NONE,0.00011,0.000269,0.000259,0.0,4028,TRUE,12,20,15,16,15,24,27,11,9,0,1,0,6,0,1,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,1,FALSE,NONE,0.000103,0.000284,0.00024,0.001836,5724,FALSE,49,20,15,16,15,24,27,15,15,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,2,FALSE,NONE,0.000101,0.000306,0.000237,0.0,3992,TRUE,5,20,15,16,15,24,27,6,4,0,6,0,6,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,3,TRUE,NONE,9.1e-05,0.000308,0.000251,0.0,4100,TRUE,49,20,15,16,15,24,27,14,20,0,3,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,4,FALSE,NONE,0.000146,0.000406,0.000368,0.002919,5724,FALSE,5,20,15,15,15,23,27,8,4,0,4,0,5,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0020,5,TRUE,NONE,0.000106,0.000369,7.8e-05,0.0,3604,TRUE,1,20,15,16,15,24,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
