model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,2.2e-05,0.000512,4.4e-05,0.0,4156,FALSE,1,20,15,19,15,27,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,3.5e-05,0.000446,0.000163,0.0,4148,TRUE,185,20,15,19,15,27,27,19,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,2.4e-05,7.8e-05,4.8e-05,0.0,3696,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,3.1e-05,0.00036,0.000177,0.0,4164,TRUE,293,20,15,18,13,26,25,20,20,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,2.2e-05,0.000391,0.000174,0.0,4156,TRUE,281,20,15,18,12,26,24,18,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,1.6e-05,0.000394,0.000226,0.0,4196,TRUE,409,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,2.7e-05,0.000402,0.000133,0.002618,5876,FALSE,1129,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,1.8e-05,0.000522,0.000154,0.0,4188,TRUE,1129,20,15,19,15,27,27,26,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,2.7e-05,0.000315,0.000134,0.0,4120,TRUE,242,20,15,16,11,22,22,17,17,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,3e-05,0.000301,0.00012,0.0,4156,TRUE,125,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,1.8e-05,6.6e-05,4.8e-05,0.0,3696,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,1.3e-05,0.000356,0.000136,0.0,4168,TRUE,937,20,15,19,15,27,27,24,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,3.7e-05,0.000455,0.000104,0.00205,5876,FALSE,77,20,15,15,10,21,19,16,15,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,3e-05,0.000252,0.000129,0.002862,5876,FALSE,57,20,15,15,10,21,19,14,14,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,NONE,1.7e-05,0.000442,0.000147,0.0,4172,TRUE,489,20,15,19,15,27,27,23,22,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,2.9e-05,0.000452,0.000129,0.0,4200,TRUE,937,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,2.4e-05,0.000356,0.000187,0.00255,5868,FALSE,681,20,15,19,15,27,27,22,24,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0
