model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,0.000235,0.000388,8.1e-05,0.0,4092,FALSE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,2,FALSE,NONE,0.000223,0.000396,0.000401,0.0,3956,TRUE,5,20,15,17,15,25,27,7,4,0,6,0,6,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0010,3,FALSE,NONE,6.9e-05,5e-05,4.4e-05,0.0,3568,TRUE,2,20,15,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0010,4,FALSE,NONE,0.000173,0.000316,0.000355,0.0,3996,TRUE,23,20,15,16,13,24,25,14,11,0,2,0,5,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,5,TRUE,NONE,0.000187,0.000252,0.000351,0.0,4032,TRUE,201,20,15,15,12,23,24,16,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,6,FALSE,NONE,0.000144,0.000322,0.000556,0.0,4056,TRUE,97,20,15,18,15,26,27,17,17,0,3,0,5,0,1,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,7,TRUE,NONE,0.000236,0.000379,0.000359,0.0026,5688,FALSE,73,20,15,16,15,24,27,17,17,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0010,8,FALSE,NONE,0.000168,0.000351,0.000326,0.0,4044,TRUE,235,20,15,18,15,26,27,22,20,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0010,9,TRUE,NONE,0.000187,0.0003,0.000285,0.0,3976,TRUE,38,20,15,14,11,20,20,13,11,0,1,0,3,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,10,TRUE,NONE,0.000168,0.000253,0.000301,0.0,3992,TRUE,8,20,15,15,12,23,24,11,8,0,3,0,4,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,11,TRUE,NONE,7.1e-05,8.4e-05,4.9e-05,0.0,3568,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,0.000166,0.000293,0.000365,0.0,3988,TRUE,33,20,15,17,15,25,27,15,13,0,1,0,5,0,1,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0010,13,TRUE,NONE,0.000155,0.00026,0.000275,0.002782,5688,FALSE,25,20,15,13,10,19,19,13,11,0,1,0,2,0,0,0,0,1,1,0,0,0,0,2
