model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,6e-06,0.000401,8e-05,0.0,4076,FALSE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,8e-06,0.000512,0.000433,0.0,3988,TRUE,5,20,15,20,15,28,27,7,4,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,5e-06,0.000309,0.000109,0.0,3604,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,6e-06,0.000422,0.000327,0.0,4024,TRUE,23,20,15,20,15,28,27,14,11,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,6e-06,0.000403,0.000291,0.0,4064,TRUE,201,20,15,20,15,28,27,16,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,5e-06,0.000342,0.000326,0.0,4088,TRUE,97,20,15,20,15,28,27,17,17,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,6e-06,0.00044,0.00035,0.00298,5720,FALSE,73,20,15,20,15,28,27,17,17,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,5e-06,0.000396,0.000353,0.0,4076,TRUE,235,20,15,20,15,28,27,22,20,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,6e-06,0.0004,0.000316,0.0,4004,TRUE,38,20,15,20,15,28,27,13,11,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,4e-06,0.000277,0.000328,0.0,4020,TRUE,8,20,15,20,15,28,27,11,8,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,6e-06,0.000399,0.000103,0.0,3604,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,6e-06,0.000388,0.000436,0.0,4016,TRUE,33,20,15,20,15,28,27,15,13,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0
