model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,1.9e-05,0.000462,8.3e-05,0.0,4080,FALSE,1,20,15,19,15,27,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,2.7e-05,0.000265,0.000432,0.0,3988,TRUE,5,20,15,19,15,27,27,7,4,0,6,0,6,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,2e-05,6.5e-05,5.9e-05,0.0,3608,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,1.8e-05,0.000331,0.000326,0.0,4032,TRUE,23,20,15,18,13,26,25,14,11,0,2,0,5,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,1.6e-05,0.0003,0.000362,0.0,4072,TRUE,201,20,15,18,12,26,24,16,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,1.4e-05,0.000313,0.00059,0.0,4088,TRUE,97,20,15,20,15,28,27,17,17,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,3e-05,0.000426,0.000343,0.002547,5724,FALSE,73,20,15,19,15,27,27,17,17,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,1.4e-05,0.000293,0.000349,0.0,4080,TRUE,235,20,15,19,15,27,27,22,20,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,2e-05,0.000322,0.000298,0.0,4012,TRUE,38,20,15,16,11,22,22,13,11,0,1,0,5,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,3.8e-05,0.000373,0.000197,0.0,4020,TRUE,8,20,15,18,12,26,24,11,8,0,3,0,4,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,2.3e-05,9.4e-05,5.3e-05,0.0,3608,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,1.5e-05,0.00036,0.000432,0.0,4024,TRUE,33,20,15,19,15,27,27,15,13,0,1,0,5,0,1,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,2.7e-05,0.000265,0.000195,0.002235,5724,FALSE,25,20,15,15,10,21,19,13,11,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,3.3e-05,0.000279,0.00027,0.00193,5724,FALSE,5,20,15,15,10,21,19,7,4,1,1,0,4,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,NONE,2e-05,0.000468,0.000332,0.0,4048,TRUE,148,20,15,19,15,27,27,17,16,0,3,0,5,0,1,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,2.4e-05,0.000385,0.000264,0.0,4036,TRUE,12,20,15,19,15,27,27,11,9,0,1,0,6,0,1,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,2.4e-05,0.000272,0.000401,0.002779,5724,FALSE,49,20,15,19,15,27,27,15,15,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,2,FALSE,NONE,2.5e-05,0.000319,0.000436,0.0,3992,TRUE,5,20,15,19,15,27,27,6,4,0,6,0,6,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,3,TRUE,NONE,3.8e-05,0.000411,0.00049,0.0,4100,TRUE,49,20,15,18,11,26,23,14,20,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,4,FALSE,NONE,3e-05,0.000287,0.000364,0.002814,5724,FALSE,5,20,15,18,12,26,24,8,4,0,4,0,5,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,5,TRUE,NONE,2.1e-05,8.3e-05,4.3e-05,0.0,3604,TRUE,1,20,15,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,3.4e-05,0.000268,0.000216,0.002726,5724,FALSE,3,20,15,15,9,21,18,6,2,0,3,0,4,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,NONE,1.8e-05,0.000443,0.00029,0.0,4108,TRUE,745,20,15,19,15,27,27,22,24,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,8,FALSE,NONE,2.1e-05,7.1e-05,4.7e-05,0.0,3600,TRUE,1,20,15,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,2.4e-05,0.000402,0.000268,0.0,4052,TRUE,31,20,15,16,13,22,24,15,13,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,NONE,2.1e-05,0.000397,0.000342,0.0,4044,TRUE,25,20,15,18,12,26,24,13,11,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0
