model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6632,FALSE,TRUE,87,33676,67,802,0.900295,0,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6512,TRUE,TRUE,87,33676,67,762,0.894625,0,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,6304,FALSE,TRUE,87,33676,61,698,0.905505,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3532,FALSE,TRUE,87,33676,1,1,0.769944,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6400,FALSE,TRUE,87,33676,62,727,0.898226,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.006879,7456,FALSE,FALSE,87,33676,64,731,0.898827,0,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.005611,7492,FALSE,FALSE,87,33676,64,743,0.895963,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6504,FALSE,TRUE,87,33676,64,761,0.919367,0,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6300,FALSE,TRUE,87,33676,60,697,0.895293,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.011294,7368,FALSE,FALSE,87,33676,61,698,0.900278,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6520,TRUE,TRUE,87,33676,63,772,0.894131,0,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,6300,FALSE,TRUE,87,33676,60,697,0.900807,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6628,FALSE,TRUE,87,33676,65,800,0.961894,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002462,7368,TRUE,FALSE,87,33676,62,699,0.937132,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6392,TRUE,TRUE,87,33676,62,727,0.900981,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6308,FALSE,TRUE,87,33676,61,698,0.900373,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6180,TRUE,TRUE,431,735,349,662,0.011087,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.0,6104,TRUE,TRUE,431,735,334,651,0.004526,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.038755,7664,FALSE,FALSE,431,735,334,651,0.004528,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.173172,7844,FALSE,FALSE,431,735,334,651,0.004471,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,6080,FALSE,TRUE,431,735,334,651,0.004431,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.0,6088,FALSE,TRUE,431,735,336,652,0.004458,12117203,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.003929,7680,FALSE,FALSE,431,735,336,653,0.004587,10666892,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,6100,TRUE,TRUE,431,735,340,657,0.004839,10549701,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.002387,7140,FALSE,FALSE,431,735,334,651,0.004033,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,6088,TRUE,TRUE,431,735,336,653,0.004463,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,6088,FALSE,TRUE,431,735,336,652,0.003912,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,6108,TRUE,TRUE,431,735,346,659,0.003489,0,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.00278,7664,FALSE,FALSE,431,735,334,651,0.004405,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,6244,TRUE,TRUE,431,735,337,654,0.003889,10446384,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,6080,FALSE,TRUE,431,735,335,652,0.004418,10357080,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,6108,FALSE,TRUE,431,735,343,657,0.003672,13046760,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.005682,7940,FALSE,FALSE,846,1148,353,667,0.008967,0,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.064949,7168,TRUE,FALSE,846,1148,343,660,0.00596,11100746,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,6148,FALSE,TRUE,846,1148,357,670,0.005969,0,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.0,6128,TRUE,TRUE,846,1148,348,663,0.005468,11143657,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,6120,FALSE,TRUE,846,1148,346,662,0.008527,0,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.01406,7200,FALSE,FALSE,846,1148,353,667,0.006128,0,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,6188,TRUE,TRUE,846,1148,359,672,0.005998,0,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.022051,6672,FALSE,FALSE,846,1148,352,667,0.006181,11309577,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.003316,7660,FALSE,FALSE,846,1148,342,659,0.006188,11288234,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,6124,FALSE,TRUE,846,1148,346,663,0.005881,0,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,6104,TRUE,TRUE,846,1148,343,660,0.006128,11099376,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.004168,7708,FALSE,FALSE,846,1148,348,663,0.005833,13472256,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,6108,TRUE,TRUE,846,1148,344,661,0.005439,11133992,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.002274,6648,FALSE,FALSE,846,1148,346,662,0.006038,13002216,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,6152,TRUE,TRUE,846,1148,356,669,0.006008,0,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,6104,FALSE,TRUE,846,1148,341,658,0.006141,11042312,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,11.5238,34112,FALSE,FALSE,626,1008,470,875,0.012278,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.020232,7472,FALSE,FALSE,626,1008,468,874,0.006382,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.015173,7540,TRUE,FALSE,626,1008,468,874,0.006876,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,430736,NONE,FALSE,626,1008,470,875,0.006058,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.034622,7828,FALSE,FALSE,626,1008,479,881,0.004593,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.0,6716,FALSE,TRUE,626,1008,465,872,0.006164,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,367092,NONE,FALSE,626,1008,478,882,0.005942,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,23.3519,55576,FALSE,FALSE,626,1008,465,872,0.005906,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,6720,FALSE,TRUE,626,1008,465,872,0.005133,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.0,6716,TRUE,TRUE,626,1008,465,872,0.005165,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.002857,7788,FALSE,FALSE,626,1008,465,872,0.005823,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.002708,7792,FALSE,FALSE,626,1008,465,872,0.005969,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.0,6724,TRUE,TRUE,626,1008,467,874,0.00516,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,6752,FALSE,TRUE,626,1008,474,879,0.006036,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.025042,8328,FALSE,FALSE,626,1008,467,874,0.006132,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.0,6724,FALSE,TRUE,626,1008,466,873,0.006071,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.003322,8636,FALSE,FALSE,1242,1621,491,895,0.011877,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.0,6740,FALSE,TRUE,1242,1621,474,881,0.008331,0,699,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
