model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6220,FALSE,TRUE,87,33676,57,665,0.892491,588061,17,0,0,32957,0,0,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6160,TRUE,TRUE,87,33676,56,645,0.893236,1283041,18,0,0,32978,0,0,18,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,4556,FALSE,TRUE,87,33676,30,222,0.99329,19200,23,0,0,33504,0,3,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3516,FALSE,TRUE,87,33676,1,1,0.783706,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,4580,FALSE,TRUE,87,33676,39,245,0.992277,92160,22,0,0,33456,0,3,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.0,7112,FALSE,FALSE,87,33676,53,614,0.907065,933121,21,0,0,33006,0,0,18,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,7072,FALSE,FALSE,87,33676,54,606,0.905009,414721,20,0,0,33013,0,0,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6292,FALSE,TRUE,87,33676,55,717,0.933688,3456000,22,0,0,32908,0,1,18,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,4556,FALSE,TRUE,87,33676,30,222,0.997873,19200,24,0,0,33494,0,3,18,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,6440,FALSE,FALSE,87,33676,34,226,1.00826,45000,23,0,0,33482,0,3,18,3,1,0,0,0,0,0,0,0,0
