model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3
AirplaneLD-COL-0010,1,TRUE,none,0.0,0.000472,0.000154,0.0,3804,TRUE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,none,0.0,0.000586,0.000163,0.0,4076,TRUE,185,20,15,20,15,28,27,19,18,0,6,0,3,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,none,0.0,0.000313,0.000114,0.0,3560,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,none,0.0,0.000408,0.000211,0.0,4108,TRUE,293,20,15,20,15,28,27,20,20,0,2,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,none,0.0,0.000476,0.000217,0.0,4152,TRUE,281,20,15,20,15,28,27,18,20,0,2,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,none,0.0,0.00047,0.000255,0.0,4120,TRUE,409,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,none,0.0,0.000367,0.000173,0.002519,5932,FALSE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,none,0.0,0.000366,0.000182,0.0,4108,TRUE,1129,20,15,20,15,28,27,26,26,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,none,0.0,0.000473,0.000223,0.0,4124,TRUE,242,20,15,20,15,28,27,17,17,0,1,0,3,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,none,0.0,0.000377,0.000212,0.0,4152,TRUE,125,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,none,0.0,0.000366,8.2e-05,0.0,3632,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,none,0.0,0.000467,0.000195,0.0,4156,TRUE,937,20,15,20,15,28,27,24,25,0,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,none,0.0,0.000412,0.000194,0.002771,5932,FALSE,77,20,15,20,15,28,27,16,15,0,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,none,0.0,0.000411,0.000196,0.002813,5992,FALSE,57,20,15,20,15,28,27,14,14,1,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,none,0.0,0.000379,0.00025,0.0,4176,TRUE,489,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,none,0.0,0.000477,0.000217,0.0,4188,TRUE,937,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,none,0.0,0.000373,0.000219,0.003545,5992,FALSE,681,20,15,20,15,28,27,22,24,0,2,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,2,FALSE,none,0.0,0.000411,0.0002,0.0,4068,TRUE,185,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,3,TRUE,none,0.0,0.000472,0.000131,0.0,4152,TRUE,149,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,4,FALSE,none,0.0,0.000514,0.000254,0.002847,5992,FALSE,77,20,15,20,15,28,27,16,15,0,4,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,5,TRUE,none,0.0,0.000523,9.9e-05,0.0,3560,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,none,0.0,0.000471,0.000179,0.002587,5872,FALSE,29,20,15,20,15,28,27,12,11,0,3,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,none,0.0,0.000469,0.000185,0.0,4132,TRUE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,8,FALSE,none,0.0,0.000376,0.000105,0.0,3492,TRUE,1,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,none,0.0,0.00031,0.000172,0.0,4164,TRUE,281,20,15,20,15,28,27,20,20,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,none,0.0,0.000468,0.000206,0.0,4096,TRUE,217,20,15,20,15,28,27,19,19,0,2,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,11,TRUE,none,0.0,0.000419,0.00011,0.0,3572,TRUE,1,20,15,20,15,28,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,none,0.0,0.000314,0.000244,0.0,4068,TRUE,185,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,none,0.0,0.000475,0.000222,0.002533,6196,FALSE,809,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0,0,0
