model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3
AirplaneLD-COL-0010,1,TRUE,none,0.0,0.000265,4.8e-05,0.0,13700,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,none,0.0,0.000266,4.8e-05,0.0,14072,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0
AirplaneLD-COL-0010,3,TRUE,none,0.0,0.000265,7.4e-05,0.049675,147288,FALSE,1129,20,15,20,15,28,27,23,26,0,0,1,1,0,4,0,0,0,0,0,0,0
AirplaneLD-COL-0010,4,TRUE,none,0.0,0.000253,4.5e-05,0.0,13712,TRUE,1129,20,15,20,15,28,27,26,27,0,0,0,0,0,2,0,0,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,none,0.0,0.000216,4.6e-05,0.0,14108,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,none,0.0,0.00027,5.3e-05,0.046822,146528,FALSE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,none,0.0,0.000274,4.6e-05,0.0,13708,TRUE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,none,0.0,0.000257,4.6e-05,0.046078,146520,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0
AirplaneLD-COL-0010,9,FALSE,none,0.0,0.000265,4.4e-05,0.048154,146596,FALSE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,none,0.0,0.000275,2.8e-05,0.0,14068,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0
AirplaneLD-COL-0010,11,FALSE,vout,0.0,0.000274,4.6e-05,0.0,4152,TRUE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,12,FALSE,none,0.0,0.000279,4.4e-05,0.04749,146756,FALSE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,none,0.0,0.000279,4.1e-05,0.048818,146520,FALSE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,vout,0.0,0.000274,4.4e-05,0.0,4080,TRUE,1,20,15,20,15,28,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
