model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4
AirplaneLD-COL-0010,1,TRUE,NONE,0.002618,0.003485,0.000184,0.0,3736,TRUE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,4.9e-05,0.000438,0.000147,0.0,4016,TRUE,185,20,15,20,15,28,27,19,18,0,6,0,3,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,4.9e-05,0.000483,0.000129,0.0,3496,TRUE,2,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,4.8e-05,0.00044,0.000237,0.0,4048,TRUE,293,20,15,20,15,28,27,20,20,0,2,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,4.2e-05,0.000301,0.000209,0.0,4088,TRUE,281,20,15,20,15,28,27,18,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,2.6e-05,0.000245,0.000248,0.0,4064,TRUE,409,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,4.5e-05,0.000473,0.00018,0.003248,5876,FALSE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,9.9e-05,0.000441,0.000174,0.0,4048,TRUE,1129,20,15,20,15,28,27,26,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,4.7e-05,0.000437,0.0002,0.0,3996,TRUE,242,20,15,20,15,28,27,17,17,0,1,0,3,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,4.7e-05,0.000446,0.000202,0.0,4084,TRUE,125,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,5e-05,0.000444,0.000112,0.0,3568,TRUE,2,20,15,20,15,28,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,4.7e-05,0.000481,0.000214,0.0,4028,TRUE,937,20,15,20,15,28,27,24,25,0,1,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,4.2e-05,0.000383,0.000192,0.002691,5876,FALSE,77,20,15,20,15,28,27,16,15,0,1,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,4.3e-05,0.000384,0.000201,0.002202,5936,FALSE,57,20,15,20,15,28,27,14,14,1,1,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,NONE,5e-05,0.000439,0.000242,0.0,4120,TRUE,489,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,3.3e-05,0.000302,0.000168,0.0,4124,TRUE,937,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,0.0026,0.003001,0.000229,0.00301,5936,FALSE,681,20,15,20,15,28,27,22,24,0,2,0,1,0,0,0,0,1,0,0,0,0,0
