model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4
AirplaneLD-COL-0010,1,TRUE,NONE,9.9e-05,0.000388,0.000139,0.0,3804,TRUE,0,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,0.000147,0.000299,0.000176,0.0,4076,TRUE,0,20,15,19,15,27,27,19,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,4e-05,6e-05,5.9e-05,0.0,3564,TRUE,0,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,5.3e-05,0.000384,0.000154,0.0,4104,TRUE,0,20,15,18,13,26,25,20,20,0,2,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,5.8e-05,0.000268,0.00013,0.0,4152,TRUE,0,20,15,18,12,26,24,18,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,6.7e-05,0.000303,0.000246,0.0,4124,TRUE,0,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,9.1e-05,0.000425,0.000119,0.002117,5932,FALSE,0,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,8.5e-05,0.00032,0.000171,0.0,4112,TRUE,0,20,15,19,15,27,27,26,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,6.1e-05,0.000222,0.000139,0.0,4124,TRUE,0,20,15,16,11,22,22,17,17,0,1,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,8.9e-05,0.000336,0.000175,0.0,4148,TRUE,0,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,3.5e-05,5.7e-05,7e-05,0.0,3628,TRUE,0,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,9e-05,0.000333,0.000207,0.0,4156,TRUE,0,20,15,19,15,27,27,24,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,8.4e-05,0.000339,0.00017,0.002899,5932,FALSE,0,20,15,15,10,21,19,16,15,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,7e-05,0.000211,0.00011,0.002034,5992,FALSE,0,20,15,15,10,21,19,14,14,1,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,NONE,9.7e-05,0.000385,0.000209,0.0,4180,TRUE,0,20,15,19,15,27,27,23,22,0,3,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,9.9e-05,0.000328,0.00014,0.0,4188,TRUE,0,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,0.000123,0.000398,0.000188,0.003596,5992,FALSE,0,20,15,19,15,27,27,22,24,0,2,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,2,FALSE,NONE,0.000142,0.000414,0.000188,0.0,4068,TRUE,0,20,15,19,15,27,27,18,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,3,TRUE,NONE,8.3e-05,0.000318,0.000136,0.0,4152,TRUE,0,20,15,18,11,26,23,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,4,FALSE,NONE,6.4e-05,0.000223,0.000219,0.001942,5992,FALSE,0,20,15,18,12,26,24,16,15,0,4,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,5,TRUE,NONE,3.6e-05,0.000225,4.6e-05,0.0,3560,TRUE,0,20,15,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,9.5e-05,0.000303,0.000158,0.001979,5872,FALSE,0,20,15,15,9,21,18,12,11,0,3,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,NONE,7.7e-05,0.000291,0.000112,0.0,4128,TRUE,0,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,8,FALSE,NONE,4e-05,8e-05,5.4e-05,0.0,3496,TRUE,0,20,15,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,6.9e-05,0.000283,0.000158,0.0,4168,TRUE,0,20,15,16,13,22,24,20,20,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,NONE,7.2e-05,0.000257,0.000131,0.0,4100,TRUE,0,20,15,18,12,26,24,19,19,0,2,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,11,TRUE,NONE,5e-05,9.5e-05,6.9e-05,0.0,3568,TRUE,0,20,15,5,3,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.000105,0.000335,0.000149,0.0,4068,TRUE,0,20,15,19,15,27,27,18,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,NONE,8.6e-05,0.00027,0.000136,0.002279,6196,FALSE,0,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,14,FALSE,NONE,9.7e-05,0.000394,0.000229,0.0,4104,TRUE,0,20,15,18,14,26,26,21,21,0,2,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,15,TRUE,NONE,9.5e-05,0.000328,0.000143,0.0,4196,TRUE,0,20,15,19,15,27,27,25,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,16,FALSE,NONE,6.5e-05,0.000134,9e-05,0.002459,5992,FALSE,0,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,1,TRUE,NONE,6.7e-05,0.000132,8.1e-05,0.002545,5872,FALSE,0,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,2,TRUE,NONE,6.9e-05,0.00014,0.000113,0.0,4076,TRUE,0,20,15,9,6,11,8,7,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,3,FALSE,NONE,8.6e-05,0.00029,0.000179,0.0,4104,TRUE,0,20,15,19,15,27,27,21,22,0,3,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,4,FALSE,NONE,8.2e-05,0.000189,0.0001,0.0,4004,TRUE,0,20,15,11,7,15,13,10,8,1,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,5,TRUE,NONE,5.4e-05,0.000169,0.00015,0.0,3676,TRUE,0,20,15,14,9,18,15,11,10,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,6,FALSE,NONE,7.8e-05,0.000322,0.000238,0.0,3612,TRUE,0,20,15,18,11,26,23,11,9,0,8,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,7,FALSE,NONE,6.2e-05,0.000234,0.000169,0.0,4056,TRUE,0,20,15,18,11,26,23,13,11,0,6,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,8,FALSE,NONE,7.2e-05,0.000128,8e-05,0.0,4012,TRUE,0,20,15,7,5,9,7,6,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,9,TRUE,NONE,7.9e-05,0.000226,9.1e-05,0.0,4128,TRUE,0,20,15,11,9,15,15,13,14,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,10,FALSE,NONE,5.3e-05,7.1e-05,6.9e-05,0.0,3996,TRUE,0,20,15,4,3,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,11,FALSE,NONE,7.6e-05,0.000373,0.000146,0.003132,5992,FALSE,0,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,12,FALSE,NONE,5.9e-05,8.2e-05,5.9e-05,0.0,3572,TRUE,0,20,15,4,3,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,13,TRUE,NONE,7.5e-05,0.000217,0.000163,0.0,4120,TRUE,0,20,15,14,10,18,16,14,13,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,14,FALSE,NONE,9.4e-05,0.000334,0.000153,0.002505,5992,FALSE,0,20,15,19,15,27,27,19,19,0,5,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,15,TRUE,NONE,0.000102,0.000431,0.000137,0.003077,5932,FALSE,0,20,15,19,15,27,27,25,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
