model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4
AirplaneLD-COL-0010,1,NONE,V,0.005237,0.012256,8.3e-05,0.0,4108,FALSE,1,20,15,19,15,27,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,0.00012,0.000363,0.000211,0.0,4156,TRUE,185,20,15,19,15,27,27,19,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,4.7e-05,7.3e-05,6.2e-05,0.0,3696,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,8.9e-05,0.000356,0.000156,0.0,4168,TRUE,293,20,15,18,13,26,25,20,20,0,2,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,8.6e-05,0.000358,0.000129,0.0,4164,TRUE,281,20,15,18,12,26,24,18,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,7.2e-05,0.000416,0.000151,0.0,4204,TRUE,409,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,0.000126,0.000413,0.000106,0.002848,5884,FALSE,1129,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,0.00012,0.000422,0.000124,0.0,4200,TRUE,1129,20,15,19,15,27,27,26,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,8.2e-05,0.000312,0.000132,0.0,4136,TRUE,242,20,15,16,11,22,22,17,17,0,1,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,0.000112,0.00042,0.000134,0.0,4164,TRUE,125,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,4.8e-05,8.1e-05,6.4e-05,0.0,3700,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,0.000114,0.000395,0.000148,0.0,4176,TRUE,937,20,15,19,15,27,27,24,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,0.000103,0.000293,0.000101,0.002034,5884,FALSE,77,20,15,15,10,21,19,16,15,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,8.6e-05,0.000254,0.000154,0.002025,5884,FALSE,57,20,15,15,10,21,19,14,14,1,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,NONE,0.000102,0.00035,0.000152,0.0,4180,TRUE,489,20,15,19,15,27,27,23,22,0,3,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,0.000125,0.000402,0.000138,0.0,4204,TRUE,937,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,0.00541,0.012623,0.000185,0.003587,6112,FALSE,681,20,15,19,15,27,27,22,24,0,2,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,2,FALSE,NONE,0.000146,0.000434,0.000205,0.0,4156,TRUE,185,20,15,19,15,27,27,18,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,3,TRUE,NONE,0.000106,0.000377,0.000168,0.0,4160,TRUE,149,20,15,18,11,26,23,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,4,FALSE,NONE,8.7e-05,0.000288,0.000152,0.002967,6052,FALSE,77,20,15,18,12,26,24,16,15,0,4,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,5,TRUE,NONE,6.4e-05,0.000147,5.9e-05,0.0,3700,TRUE,1,20,15,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,0.000109,0.00026,9.4e-05,0.002695,5884,FALSE,29,20,15,15,9,21,18,12,11,0,3,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,NONE,0.000119,0.000433,0.000107,0.0,4208,TRUE,1129,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,8,FALSE,NONE,4.6e-05,6.7e-05,5.9e-05,0.0,3696,TRUE,1,20,15,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,8.7e-05,0.000327,0.0001,0.0,4180,TRUE,281,20,15,16,13,22,24,20,20,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,NONE,7.5e-05,0.000336,0.000128,0.0,4180,TRUE,217,20,15,18,12,26,24,19,19,0,2,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,11,TRUE,NONE,5.3e-05,0.000107,4.6e-05,0.0,3704,TRUE,1,20,15,5,3,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.000132,0.000367,0.000179,0.0,4156,TRUE,185,20,15,19,15,27,27,18,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,NONE,0.000129,0.000395,0.000141,0.002236,5884,FALSE,809,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,14,FALSE,NONE,0.000109,0.000363,0.00015,0.0,4192,TRUE,297,20,15,18,14,26,26,21,21,0,2,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,15,TRUE,NONE,0.000134,0.000393,0.000143,0.0,4208,TRUE,809,20,15,19,15,27,27,25,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0020,16,FALSE,NONE,9e-05,0.000177,6.2e-05,0.002097,5884,FALSE,14,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,1,TRUE,NONE,0.005332,0.013028,7.6e-05,0.002731,5840,FALSE,14,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,2,TRUE,NONE,8.8e-05,0.000173,8.5e-05,0.0,4080,TRUE,7,20,15,9,6,11,8,7,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,3,FALSE,NONE,0.000147,0.000437,0.000144,0.0,4176,TRUE,409,20,15,19,15,27,27,21,22,0,3,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,4,FALSE,NONE,9.4e-05,0.000227,0.00012,0.0,4080,TRUE,13,20,15,11,7,15,13,10,8,1,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,5,TRUE,NONE,7.8e-05,0.000224,0.000116,0.0,3660,TRUE,29,20,15,14,9,18,15,11,10,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,6,FALSE,NONE,9.2e-05,0.000359,0.000159,0.0,3752,TRUE,17,20,15,18,11,26,23,11,9,0,8,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,7,FALSE,NONE,9.4e-05,0.000333,0.000137,0.0,4120,TRUE,29,20,15,18,11,26,23,13,11,0,6,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,8,FALSE,NONE,9.4e-05,0.000174,6e-05,0.0,4080,TRUE,7,20,15,7,5,9,7,6,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,9,TRUE,NONE,8.1e-05,0.000246,9.1e-05,0.0,4140,TRUE,69,20,15,11,9,15,15,13,14,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,10,FALSE,NONE,7.9e-05,0.00014,5.1e-05,0.0,4072,TRUE,4,20,15,4,3,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,11,FALSE,NONE,0.00011,0.00031,0.000124,0.002262,5884,FALSE,121,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,12,FALSE,NONE,7.9e-05,0.000121,4.9e-05,0.0,3712,TRUE,4,20,15,4,3,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,13,TRUE,NONE,0.000104,0.000257,8.9e-05,0.0,4136,TRUE,132,20,15,14,10,18,16,14,13,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,14,FALSE,NONE,0.000123,0.000411,0.000161,0.002724,5884,FALSE,217,20,15,19,15,27,27,19,19,0,5,0,3,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,15,TRUE,NONE,0.000101,0.000408,9.9e-05,0.002205,5884,FALSE,1129,20,15,19,15,27,27,25,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0050,16,TRUE,NONE,5.4e-05,9.3e-05,4.6e-05,0.0,3696,TRUE,1,20,15,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,1,FALSE,NONE,0.00525,0.012244,0.000168,0.0,4096,TRUE,9,20,15,15,9,21,18,9,7,0,6,0,2,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,2,TRUE,NONE,7.8e-05,0.000139,5.8e-05,0.0,3704,TRUE,1,20,15,5,3,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,3,TRUE,NONE,7.5e-05,0.000143,7.2e-05,0.002773,5880,FALSE,14,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,4,TRUE,NONE,8.4e-05,0.000256,0.000109,0.0,4152,TRUE,137,20,15,15,11,21,20,16,17,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,5,FALSE,NONE,0.000112,0.000255,0.000134,0.0,4112,TRUE,13,20,15,11,7,15,13,9,8,1,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,6,FALSE,NONE,9.5e-05,0.0003,0.000205,0.002675,5876,FALSE,281,20,15,16,13,22,24,20,20,0,0,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,7,FALSE,NONE,8e-05,0.000128,4.8e-05,0.0,3700,TRUE,2,20,15,5,3,5,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,8,FALSE,NONE,8.6e-05,0.00019,7.3e-05,0.0,4096,TRUE,28,20,15,11,7,13,9,9,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,9,TRUE,NONE,0.000133,0.000423,0.000136,0.0,4196,TRUE,809,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,10,FALSE,NONE,8.2e-05,0.000137,7e-05,0.0,4084,TRUE,4,20,15,6,4,7,5,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AirplaneLD-COL-0100,11,TRUE,NONE,0.000107,0.000296,0.000114,0.002198,5884,FALSE,29,20,15,15,9,21,18,12,11,0,3,0,1,0,0,0,0,1,1,0,0,0,0
