model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3
AirplaneLD-COL-0010,1,TRUE,none,0.0,0.000292,9.2e-05,0.0,3800,TRUE,0,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,none,0.0,0.000289,0.000124,0.0,4076,TRUE,0,20,15,20,15,28,27,19,18,0,6,0,3,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,none,0.0,0.000289,6.2e-05,0.0,3560,TRUE,0,20,15,20,15,28,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,none,0.0,0.000283,0.000123,0.0,4104,TRUE,0,20,15,20,15,28,27,20,20,0,2,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,none,0.0,0.000278,0.000109,0.0,4152,TRUE,0,20,15,20,15,28,27,18,20,0,2,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,none,0.0,0.000289,0.000129,0.0,4124,TRUE,0,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,none,0.0,0.00028,9.1e-05,0.001187,5916,FALSE,0,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,none,0.0,0.00029,9.9e-05,0.0,4104,TRUE,0,20,15,20,15,28,27,26,26,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,none,0.0,0.000323,0.000113,0.0,4120,TRUE,0,20,15,20,15,28,27,17,17,0,1,0,3,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,none,0.0,0.000299,0.000114,0.0,4144,TRUE,0,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,none,0.0,0.000294,9.5e-05,0.0,3628,TRUE,0,20,15,20,15,28,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,none,0.0,0.000301,0.000118,0.0,4156,TRUE,0,20,15,20,15,28,27,24,25,0,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,none,0.0,0.000295,0.000109,0.001205,5916,FALSE,0,20,15,20,15,28,27,16,15,0,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,none,0.0,0.000291,0.000106,0.001208,5976,FALSE,0,20,15,20,15,28,27,14,14,1,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,none,0.0,0.000294,0.000134,0.0,4176,TRUE,0,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,none,0.0,0.000299,0.000116,0.0,4188,TRUE,0,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,none,0.0,0.000295,0.000111,0.001532,6236,FALSE,0,20,15,20,15,28,27,22,24,0,2,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,2,FALSE,none,0.0,0.00029,0.000124,0.0,4068,TRUE,0,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,3,TRUE,none,0.0,0.000286,0.000107,0.0,4152,TRUE,0,20,15,20,15,28,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,4,FALSE,none,0.0,0.000282,0.000133,0.001096,5976,FALSE,0,20,15,20,15,28,27,16,15,0,4,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,5,TRUE,none,0.0,0.000287,5e-05,0.0,3556,TRUE,0,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,none,0.0,0.0003,8.8e-05,0.00124,5860,FALSE,0,20,15,20,15,28,27,12,11,0,3,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,none,0.0,0.000287,9.3e-05,0.0,4132,TRUE,0,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,8,FALSE,none,0.0,0.000285,4.9e-05,0.0,3488,TRUE,0,20,15,20,15,28,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,none,0.0,0.000286,8.7e-05,0.0,4168,TRUE,0,20,15,20,15,28,27,20,20,0,0,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,none,0.0,0.0003,0.00011,0.0,4096,TRUE,0,20,15,20,15,28,27,19,19,0,2,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,11,TRUE,none,0.0,0.000289,5.2e-05,0.0,3568,TRUE,0,20,15,20,15,28,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,none,0.0,0.000293,0.000124,0.0,4068,TRUE,0,20,15,20,15,28,27,18,18,0,6,0,3,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,none,0.0,0.000287,0.000115,0.001223,6180,FALSE,0,20,15,20,15,28,27,23,25,0,1,0,1,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0020,14,FALSE,none,0.0,0.000289,0.000127,0.0,4100,TRUE,0,20,15,20,15,28,27,21,21,0,2,0,2,0,0,0,0,1,0,0,0,0
