model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3
AirplaneLD-COL-0010,1,TRUE,none,1.4e-05,0.000296,0.00013,0.0,3804,TRUE,1129,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,2,FALSE,none,2.7e-05,0.00029,0.000149,0.0,4072,TRUE,185,20,15,19,15,27,27,19,18,0,6,0,3,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,3,FALSE,none,1.9e-05,4.5e-05,4.5e-05,0.0,3564,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,4,FALSE,none,2.4e-05,0.00044,0.000225,0.0,4100,TRUE,293,20,15,18,13,26,25,20,20,0,2,0,2,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,5,TRUE,none,1.4e-05,0.000245,0.000123,0.0,4148,TRUE,281,20,15,18,12,26,24,18,20,0,2,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,6,FALSE,none,1.2e-05,0.000292,0.000158,0.0,4124,TRUE,409,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,none,3.1e-05,0.000386,0.000154,0.002941,5932,FALSE,1129,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,8,FALSE,none,1.7e-05,0.000338,0.000178,0.0,4112,TRUE,1129,20,15,19,15,27,27,26,26,0,0,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,9,TRUE,none,2.6e-05,0.000231,0.000197,0.0,4120,TRUE,242,20,15,16,11,22,22,17,17,0,1,0,3,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,10,TRUE,none,4.2e-05,0.000337,0.000194,0.0,4148,TRUE,125,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,11,TRUE,none,1.9e-05,5.8e-05,5.9e-05,0.0,3632,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,12,TRUE,none,2e-05,0.00034,0.000208,0.0,4152,TRUE,937,20,15,19,15,27,27,24,25,0,1,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,13,TRUE,none,3.6e-05,0.000312,0.000173,0.002642,5932,FALSE,77,20,15,15,10,21,19,16,15,0,1,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,14,FALSE,none,3.2e-05,0.000205,0.000152,0.002752,5992,FALSE,57,20,15,15,10,21,19,14,14,1,1,0,1,0,0,0,0,1,1,0,0,0
AirplaneLD-COL-0010,15,TRUE,none,1.2e-05,0.000281,0.00016,0.0,4180,TRUE,489,20,15,19,15,27,27,23,22,0,3,0,2,0,0,0,0,1,1,0,0,0
