model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,TRUE,NONE,0.000111,0.00031,3.3e-05,0.0,13840,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,2,FALSE,NONE,0.000156,0.000349,2.8e-05,0.0,14212,TRUE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0010,3,TRUE,NONE,0.000159,0.000204,7.5e-05,0.064585,148324,FALSE,426,20,15,13,10,19,19,16,18,0,0,0,1,0,3,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0010,4,TRUE,NONE,9.8e-05,0.000295,3.9e-05,0.0,13860,TRUE,1129,20,15,18,15,26,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,5,TRUE,NONE,9.5e-05,0.000224,3.3e-05,0.0,14244,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,6,FALSE,NONE,0.000112,0.000261,5.3e-05,0.056058,147516,FALSE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0010,7,TRUE,NONE,9.1e-05,0.000305,3.3e-05,0.0,13860,TRUE,1129,20,15,18,15,26,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,8,FALSE,NONE,0.000116,0.000373,3.6e-05,0.055693,147624,FALSE,1129,20,15,17,15,25,27,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0010,9,FALSE,NONE,0.000108,0.000251,3.9e-05,0.054792,147704,FALSE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0010,10,TRUE,NONE,0.00011,0.000317,5.1e-05,0.0,14212,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,11,FALSE,NONE,0.000126,0.000169,3.8e-05,0.0,0,TRUE,1,20,15,10,7,14,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
AirplaneLD-COL-0010,12,FALSE,NONE,0.000116,0.000278,3.2e-05,0.056855,147816,FALSE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,13,TRUE,NONE,0.00013,0.000314,3.4e-05,0.05712,147516,FALSE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,14,FALSE,NONE,0.000176,0.00026,3.8e-05,0.0,0,TRUE,1,20,15,15,15,23,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,15,FALSE,NONE,0.000226,0.000344,6.5e-05,0.0,0,TRUE,1,20,15,17,15,25,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,16,TRUE,NONE,0.000103,0.000282,4e-05,0.0,13848,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,1,FALSE,NONE,0.000191,0.000423,3.8e-05,0.056726,147612,FALSE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0020,2,TRUE,NONE,0.000131,0.00033,3.3e-05,0.0,14224,TRUE,1129,20,15,17,15,25,27,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0020,3,FALSE,NONE,0.00015,0.000308,3.2e-05,0.064869,147636,FALSE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0020,4,TRUE,NONE,0.00012,0.000308,3.3e-05,0.0,13860,TRUE,1129,20,15,18,15,26,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0020,5,FALSE,NONE,0.000238,0.000309,8.7e-05,0.059404,147780,FALSE,921,20,15,15,13,23,25,21,24,0,0,0,1,0,2,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,6,TRUE,NONE,0.000126,0.000245,3.3e-05,0.0,14208,TRUE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0020,7,TRUE,NONE,8e-05,0.000456,3.1e-05,0.0,13860,TRUE,1129,20,15,19,15,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AirplaneLD-COL-0020,8,TRUE,NONE,0.000132,0.000276,3.3e-05,0.0,13852,TRUE,1129,20,15,16,15,24,27,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,9,TRUE,NONE,0.000149,0.000337,2.9e-05,0.0,13848,TRUE,1129,20,15,15,15,23,27,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AirplaneLD-COL-0020,10,TRUE,NONE,0.000127,0.000299,3.1e-05,0.068172,148240,FALSE,1129,20,15,17,15,25,27,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0020,11,FALSE,NONE,0.000135,0.00014,4.2e-05,0.0,0,TRUE,1,20,15,8,6,10,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
