model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,0.001348,0.00045,6.9e-05,0.0,4168,FALSE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,2,FALSE,NONE,0.001402,0.000446,0.000191,0.0,4160,TRUE,185,20,15,17,15,25,27,19,18,0,6,0,3,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0010,3,FALSE,NONE,0.001099,0.000328,9.5e-05,0.0,3704,TRUE,2,20,15,15,15,23,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,4,FALSE,NONE,0.00138,0.000342,0.000211,0.0,4180,TRUE,293,20,15,16,15,24,27,20,20,0,2,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,5,TRUE,NONE,0.000989,0.000262,0.000182,0.0,4172,TRUE,281,20,15,15,15,23,27,18,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,6,FALSE,NONE,0.001528,0.00045,0.000213,0.0,4212,TRUE,409,20,15,18,15,26,27,23,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,7,TRUE,NONE,0.001022,0.000335,0.000149,0.003016,5892,FALSE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,8,FALSE,NONE,0.001372,0.000311,0.000148,0.0,4204,TRUE,1129,20,15,18,15,26,27,26,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,9,TRUE,NONE,0.000752,0.000233,0.00018,0.0,4144,TRUE,242,20,15,16,15,24,27,17,17,0,1,0,3,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,10,TRUE,NONE,0.001241,0.000274,0.000159,0.0,4164,TRUE,125,20,15,15,15,23,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,11,TRUE,NONE,0.001141,0.00034,0.0001,0.0,3708,TRUE,2,20,15,16,15,24,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,12,TRUE,NONE,0.000973,0.000291,0.000156,0.0,4184,TRUE,937,20,15,17,15,25,27,24,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0010,13,TRUE,NONE,0.00125,0.000337,0.000175,0.002778,5888,FALSE,77,20,15,16,15,24,27,16,15,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,14,FALSE,NONE,0.001073,0.000321,0.000135,0.002547,5892,FALSE,57,20,15,15,15,23,27,14,14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,15,TRUE,NONE,0.001132,0.000373,0.000206,0.0,4188,TRUE,489,20,15,18,15,26,27,23,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,16,TRUE,NONE,0.001112,0.000294,0.000158,0.0,4212,TRUE,937,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,1,FALSE,NONE,0.018948,0.0355,0.000193,0.004443,6104,FALSE,681,20,15,16,15,24,27,22,24,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,2,FALSE,NONE,0.001176,0.000341,0.0002,0.0,4168,TRUE,185,20,15,16,15,24,27,18,18,0,6,0,3,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,3,TRUE,NONE,0.001534,0.000414,0.000187,0.0,4168,TRUE,149,20,15,16,15,24,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,4,FALSE,NONE,0.00121,0.000321,0.000223,0.002495,6072,FALSE,77,20,15,15,15,23,27,16,15,0,4,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0020,5,TRUE,NONE,0.001488,0.000514,0.000145,0.0,3704,TRUE,1,20,15,16,15,24,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,6,TRUE,NONE,0.00109,0.00027,0.000159,0.003034,5892,FALSE,29,20,15,15,15,23,27,12,11,0,3,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0020,7,FALSE,NONE,0.001288,0.000372,8e-05,0.0,4216,TRUE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,8,FALSE,NONE,0.001066,0.000289,7e-05,0.0,3700,TRUE,1,20,15,16,15,24,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,9,TRUE,NONE,0.001288,0.000312,0.00015,0.0,4184,TRUE,281,20,15,17,15,25,27,20,20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
AirplaneLD-COL-0020,10,FALSE,NONE,0.001063,0.00029,0.000182,0.0,4192,TRUE,217,20,15,16,15,24,27,19,19,0,2,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,11,TRUE,NONE,0.001351,0.000386,6.3e-05,0.0,3708,TRUE,1,20,15,17,15,25,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
AirplaneLD-COL-0020,12,FALSE,NONE,0.001109,0.000342,0.000126,0.0,4164,TRUE,185,20,15,16,15,24,27,18,18,0,6,0,3,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,13,TRUE,NONE,0.001368,0.000333,0.000175,0.002627,5892,FALSE,809,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,14,FALSE,NONE,0.001201,0.000339,0.000131,0.0,4200,TRUE,297,20,15,16,15,24,27,21,21,0,2,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,15,TRUE,NONE,0.001283,0.000359,0.000147,0.0,4220,TRUE,809,20,15,18,15,26,27,25,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0020,16,FALSE,NONE,0.000998,0.000277,0.000177,0.002827,5892,FALSE,14,20,15,15,15,23,27,7,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,1,TRUE,NONE,0.019383,0.033973,0.000136,0.003369,5832,FALSE,14,20,15,15,15,23,27,7,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,2,TRUE,NONE,0.000904,0.000236,0.000115,0.0,4096,TRUE,7,20,15,16,15,24,27,7,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0050,3,FALSE,NONE,0.001556,0.000382,0.0002,0.0,4188,TRUE,409,20,15,16,15,24,27,21,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0050,4,FALSE,NONE,0.001442,0.000344,0.000154,0.0,4088,TRUE,13,20,15,16,15,24,27,10,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0050,5,TRUE,NONE,0.001188,0.000324,0.000152,0.0,3752,TRUE,29,20,15,16,15,24,27,11,10,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0050,6,FALSE,NONE,0.001245,0.000272,0.000219,0.0,3756,TRUE,17,20,15,15,15,23,27,11,9,0,8,0,3,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,7,FALSE,NONE,0.001364,0.000324,0.000136,0.0,4128,TRUE,29,20,15,15,15,23,27,13,11,0,6,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,8,FALSE,NONE,0.001175,0.000276,0.000115,0.0,4092,TRUE,7,20,15,15,15,23,27,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,9,TRUE,NONE,0.001523,0.000363,0.000127,0.0,4148,TRUE,69,20,15,15,15,23,27,13,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,10,FALSE,NONE,0.001564,0.000365,8.6e-05,0.0,4076,TRUE,4,20,15,15,15,23,27,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,11,FALSE,NONE,0.001415,0.000322,0.000169,0.002788,5892,FALSE,121,20,15,15,15,23,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,12,FALSE,NONE,0.001743,0.000407,7.2e-05,0.0,3716,TRUE,4,20,15,15,15,23,27,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,13,TRUE,NONE,0.001175,0.000292,0.000162,0.0,4144,TRUE,132,20,15,16,15,24,27,14,13,0,1,0,5,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0050,14,FALSE,NONE,0.00169,0.00049,0.000197,0.002141,5892,FALSE,217,20,15,16,15,24,27,19,19,0,5,0,3,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0050,15,TRUE,NONE,0.001469,0.000396,0.000127,0.002898,5892,FALSE,1129,20,15,17,15,25,27,25,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0050,16,TRUE,NONE,0.001307,0.000293,7.2e-05,0.0,3704,TRUE,1,20,15,16,15,24,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0100,1,FALSE,NONE,0.020308,0.033263,0.000193,0.0,4088,TRUE,9,20,15,15,15,23,27,9,7,0,6,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0100,2,TRUE,NONE,0.002052,0.000464,8.4e-05,0.0,3712,TRUE,1,20,15,17,15,25,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
