model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,0.024872,0.164062,7e-05,0.0,4116,FALSE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,2,FALSE,NONE,0.001041,0.000427,0.000205,0.0,4164,TRUE,185,20,15,17,15,25,27,19,18,0,6,0,3,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0010,3,FALSE,NONE,0.001169,0.00036,8.9e-05,0.0,3704,TRUE,2,20,15,15,15,23,27,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,4,FALSE,NONE,0.001027,0.000342,0.000135,0.0,4176,TRUE,293,20,15,16,15,24,27,20,20,0,2,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,5,TRUE,NONE,0.00098,0.000279,0.000184,0.0,4172,TRUE,281,20,15,15,15,23,27,18,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,6,FALSE,NONE,0.001129,0.000368,0.000187,0.0,4204,TRUE,409,20,15,18,15,26,27,23,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,7,TRUE,NONE,0.000989,0.000403,0.000137,0.002226,5888,FALSE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0010,8,FALSE,NONE,0.001428,0.000453,0.000139,0.0,4200,TRUE,1129,20,15,18,15,26,27,26,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,9,TRUE,NONE,0.001,0.00029,0.000106,0.0,4132,TRUE,242,20,15,16,15,24,27,17,17,0,1,0,3,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,10,TRUE,NONE,0.001037,0.000324,0.000114,0.0,4164,TRUE,125,20,15,15,15,23,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,11,TRUE,NONE,0.001298,0.000388,6.4e-05,0.0,3704,TRUE,2,20,15,16,15,24,27,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,12,TRUE,NONE,0.001507,0.000303,0.000151,0.0,4180,TRUE,937,20,15,17,15,25,27,24,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0010,13,TRUE,NONE,0.001083,0.000337,0.000112,0.002136,5888,FALSE,77,20,15,16,15,24,27,16,15,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0010,14,FALSE,NONE,0.001067,0.00033,0.000111,0.00187,5888,FALSE,57,20,15,15,15,23,27,14,14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0010,15,TRUE,NONE,0.000906,0.000371,0.000214,0.0,4184,TRUE,489,20,15,18,15,26,27,23,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,16,TRUE,NONE,0.000997,0.000321,0.00012,0.0,4208,TRUE,937,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,1,FALSE,NONE,0.024521,0.164122,0.000118,0.003837,6092,FALSE,681,20,15,16,15,24,27,22,24,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,2,FALSE,NONE,0.000978,0.000295,0.000208,0.0,4164,TRUE,185,20,15,16,15,24,27,18,18,0,6,0,3,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,3,TRUE,NONE,0.001289,0.000297,0.000119,0.0,4160,TRUE,149,20,15,16,15,24,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,4,FALSE,NONE,0.000951,0.000283,0.000197,0.002777,6068,FALSE,77,20,15,15,15,23,27,16,15,0,4,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0020,5,TRUE,NONE,0.001256,0.000298,9.1e-05,0.0,3700,TRUE,1,20,15,16,15,24,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,6,TRUE,NONE,0.001526,0.000336,0.000159,0.003216,5888,FALSE,29,20,15,15,15,23,27,12,11,0,3,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0020,7,FALSE,NONE,0.001224,0.000368,0.000121,0.0,4212,TRUE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,8,FALSE,NONE,0.001135,0.000332,5.6e-05,0.0,3704,TRUE,1,20,15,16,15,24,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,9,TRUE,NONE,0.001085,0.000312,0.000111,0.0,4176,TRUE,281,20,15,17,15,25,27,20,20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
AirplaneLD-COL-0020,10,FALSE,NONE,0.001272,0.000284,0.000142,0.0,4188,TRUE,217,20,15,16,15,24,27,19,19,0,2,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,11,TRUE,NONE,0.001287,0.00039,7.7e-05,0.0,3708,TRUE,1,20,15,17,15,25,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
AirplaneLD-COL-0020,12,FALSE,NONE,0.001064,0.000344,0.000126,0.0,4160,TRUE,185,20,15,16,15,24,27,18,18,0,6,0,3,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,13,TRUE,NONE,0.000944,0.000287,0.00017,0.002051,5888,FALSE,809,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0020,14,FALSE,NONE,0.001309,0.00038,0.000132,0.0,4196,TRUE,297,20,15,16,15,24,27,21,21,0,2,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0020,15,TRUE,NONE,0.001029,0.000314,0.00018,0.0,4212,TRUE,809,20,15,18,15,26,27,25,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0020,16,FALSE,NONE,0.001038,0.0003,0.000116,0.00191,5884,FALSE,14,20,15,15,15,23,27,7,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,1,TRUE,NONE,0.025214,0.163984,0.000117,0.003282,5832,FALSE,14,20,15,15,15,23,27,7,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,2,TRUE,NONE,0.001214,0.000293,7.7e-05,0.0,4088,TRUE,7,20,15,16,15,24,27,7,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0050,3,FALSE,NONE,0.001171,0.000292,0.000201,0.0,4184,TRUE,409,20,15,16,15,24,27,21,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0050,4,FALSE,NONE,0.001376,0.000339,9.6e-05,0.0,4088,TRUE,13,20,15,16,15,24,27,10,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0050,5,TRUE,NONE,0.001685,0.000299,0.000154,0.0,3756,TRUE,29,20,15,16,15,24,27,11,10,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0050,6,FALSE,NONE,0.001482,0.000361,0.000212,0.0,3756,TRUE,17,20,15,15,15,23,27,11,9,0,8,0,3,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,7,FALSE,NONE,0.001728,0.000415,0.000187,0.0,4128,TRUE,29,20,15,15,15,23,27,13,11,0,6,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,8,FALSE,NONE,0.001323,0.000325,0.00013,0.0,4084,TRUE,7,20,15,15,15,23,27,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,9,TRUE,NONE,0.001248,0.000314,0.000138,0.0,4148,TRUE,69,20,15,15,15,23,27,13,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,10,FALSE,NONE,0.001137,0.000281,6.2e-05,0.0,4072,TRUE,4,20,15,15,15,23,27,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,11,FALSE,NONE,0.00137,0.000324,0.000151,0.002482,5888,FALSE,121,20,15,15,15,23,27,17,17,0,3,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,12,FALSE,NONE,0.001357,0.000325,8.8e-05,0.0,3720,TRUE,4,20,15,15,15,23,27,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0050,13,TRUE,NONE,0.001446,0.000297,0.000118,0.0,4136,TRUE,132,20,15,16,15,24,27,14,13,0,1,0,5,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0050,14,FALSE,NONE,0.001736,0.00036,0.000137,0.002901,5888,FALSE,217,20,15,16,15,24,27,19,19,0,5,0,3,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0050,15,TRUE,NONE,0.001097,0.000319,0.000139,0.002575,5884,FALSE,1129,20,15,17,15,25,27,25,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0050,16,TRUE,NONE,0.001339,0.00033,8.6e-05,0.0,3704,TRUE,1,20,15,16,15,24,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0100,1,FALSE,NONE,0.025807,0.164026,0.000197,0.0,4072,TRUE,9,20,15,15,15,23,27,9,7,0,6,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0100,2,TRUE,NONE,0.001522,0.000365,8.2e-05,0.0,3712,TRUE,1,20,15,17,15,25,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
AirplaneLD-COL-0100,3,TRUE,NONE,0.001943,0.00029,0.000144,0.002488,5888,FALSE,14,20,15,15,15,23,27,7,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0100,4,TRUE,NONE,0.002183,0.000427,0.000108,0.0,4156,TRUE,137,20,15,15,15,23,27,16,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0100,5,FALSE,NONE,0.001696,0.000332,0.000128,0.0,4112,TRUE,13,20,15,15,15,23,27,9,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0100,6,FALSE,NONE,0.001534,0.000363,0.000149,0.002845,5888,FALSE,281,20,15,17,15,25,27,20,20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
AirplaneLD-COL-0100,7,FALSE,NONE,0.001616,0.000349,8.4e-05,0.0,3704,TRUE,2,20,15,16,15,24,27,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0100,8,FALSE,NONE,0.001316,0.000251,0.000127,0.0,4100,TRUE,28,20,15,16,15,24,27,9,7,0,1,0,4,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0100,9,TRUE,NONE,0.001766,0.000338,0.000169,0.0,4200,TRUE,809,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0100,10,FALSE,NONE,0.001802,0.000247,6e-05,0.0,4096,TRUE,4,20,15,16,15,24,27,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0100,11,TRUE,NONE,0.001899,0.000365,0.000155,0.003002,5888,FALSE,29,20,15,15,15,23,27,12,11,0,3,0,1,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0100,12,FALSE,NONE,0.001579,0.000372,0.000154,0.0,4140,TRUE,66,20,15,17,15,25,27,14,12,1,0,0,3,0,0,0,0,1,0,0,0,0,0,3
AirplaneLD-COL-0100,13,FALSE,NONE,0.001736,0.000332,8.6e-05,0.0,4084,TRUE,7,20,15,15,15,23,27,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0100,14,FALSE,NONE,0.001696,0.000349,0.000163,0.0,3764,TRUE,25,20,15,16,15,24,27,14,11,0,7,0,3,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0100,15,TRUE,NONE,0.001453,0.000319,0.000141,0.0,4200,TRUE,1129,20,15,17,15,25,27,25,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0100,16,TRUE,NONE,0.001197,0.000256,0.000122,0.0,4204,TRUE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
AirplaneLD-COL-0200,1,FALSE,NONE,0.129042,0.064053,0.000216,0.0,3776,TRUE,569,20,15,17,15,25,27,23,23,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3
AirplaneLD-COL-0200,2,TRUE,NONE,0.001681,0.000336,0.000186,0.0,4172,TRUE,421,20,15,18,15,26,27,23,22,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2
AirplaneLD-COL-0200,3,TRUE,NONE,0.003068,0.000348,0.000221,0.002094,5864,FALSE,29,20,15,15,15,23,27,13,11,0,6,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0200,4,TRUE,NONE,0.003001,0.000372,0.000208,0.0,3736,TRUE,29,20,15,15,15,23,27,13,11,0,6,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0200,5,TRUE,NONE,0.002856,0.000409,0.000201,0.002575,5864,FALSE,221,20,15,16,15,24,27,20,19,0,2,0,2,0,0,0,0,1,0,0,0,0,0,4
AirplaneLD-COL-0200,6,FALSE,NONE,0.002283,0.000295,0.000172,0.002213,5864,FALSE,29,20,15,15,15,23,27,13,11,0,6,0,2,0,0,0,0,1,0,0,0,0,0,5
AirplaneLD-COL-0200,7,FALSE,NONE,0.002269,0.00035,6.6e-05,0.0,4072,TRUE,4,20,15,16,15,24,27,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
