model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,0.006128,0.002664,5.1e-05,0.0,4112,FALSE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,2,FALSE,NONE,0.001457,0.000455,0.000169,0.0,4172,TRUE,185,20,15,17,15,25,27,19,18,0,6,0,3,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0010,3,FALSE,NONE,0.000176,6.2e-05,5.4e-05,0.0,3712,TRUE,2,20,15,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0010,4,FALSE,NONE,0.000933,0.000269,0.000202,0.0,4184,TRUE,293,20,15,16,13,24,25,20,20,0,2,0,2,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,5,TRUE,NONE,0.001325,0.000421,0.000148,0.0,4180,TRUE,281,20,15,15,12,23,24,18,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,6,FALSE,NONE,0.001497,0.000429,0.000208,0.0,4216,TRUE,409,20,15,18,15,26,27,23,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,7,TRUE,NONE,0.001215,0.000309,0.00014,0.002867,5896,FALSE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0010,8,FALSE,NONE,0.001389,0.000413,0.000134,0.0,4208,TRUE,1129,20,15,18,15,26,27,26,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0010,9,TRUE,NONE,0.000833,0.000248,0.000157,0.0,4144,TRUE,242,20,15,14,11,20,20,17,17,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,10,TRUE,NONE,0.000885,0.00026,9.7e-05,0.0,4176,TRUE,125,20,15,15,12,23,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,11,TRUE,NONE,0.000172,8.2e-05,5.7e-05,0.0,3712,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,0.001067,0.000298,0.000157,0.0,4188,TRUE,937,20,15,17,15,25,27,24,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0010,13,TRUE,NONE,0.000751,0.000237,0.000154,0.002501,5896,FALSE,77,20,15,13,10,19,19,16,15,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,14,FALSE,NONE,0.000811,0.000214,0.000141,0.002439,5896,FALSE,57,20,15,12,10,18,19,14,14,1,1,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,15,TRUE,NONE,0.000952,0.000315,0.0002,0.0,4192,TRUE,489,20,15,18,15,26,27,23,22,0,3,0,2,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0010,16,TRUE,NONE,0.001136,0.000352,9.2e-05,0.0,4216,TRUE,937,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,1,FALSE,NONE,0.005993,0.002764,0.000177,0.003446,6100,FALSE,681,20,15,16,15,24,27,22,24,0,2,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,2,FALSE,NONE,0.001311,0.000337,0.000192,0.0,4172,TRUE,185,20,15,16,15,24,27,18,18,0,6,0,3,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,3,TRUE,NONE,0.000861,0.00034,0.000164,0.0,4176,TRUE,149,20,15,16,11,24,23,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0020,4,FALSE,NONE,0.001218,0.000259,0.000194,0.002825,6076,FALSE,77,20,15,15,12,23,24,16,15,0,4,0,2,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0020,5,TRUE,NONE,0.000207,0.0001,5.8e-05,0.0,3708,TRUE,1,20,15,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,0.001022,0.00028,0.000124,0.002999,5896,FALSE,29,20,15,12,9,18,18,12,11,0,3,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0020,7,FALSE,NONE,0.001346,0.000295,0.00014,0.0,4220,TRUE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,8,FALSE,NONE,0.00014,5.6e-05,4.8e-05,0.0,3704,TRUE,1,20,15,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,0.001369,0.000398,8.1e-05,0.0,4192,TRUE,281,20,15,15,13,21,24,20,20,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
AirplaneLD-COL-0020,10,FALSE,NONE,0.001189,0.000309,0.000105,0.0,4192,TRUE,217,20,15,16,12,24,24,19,19,0,2,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0020,11,TRUE,NONE,0.00027,0.000116,6e-05,0.0,3712,TRUE,1,20,15,5,3,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.001261,0.000331,0.000192,0.0,4168,TRUE,185,20,15,16,15,24,27,18,18,0,6,0,3,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,13,TRUE,NONE,0.001285,0.000332,0.000176,0.002485,5896,FALSE,809,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,14,FALSE,NONE,0.001203,0.000335,0.000143,0.0,4204,TRUE,297,20,15,16,14,24,26,21,21,0,2,0,2,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0020,15,TRUE,NONE,0.001462,0.000397,0.000182,0.0,4224,TRUE,809,20,15,18,15,26,27,25,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0020,16,FALSE,NONE,0.000443,0.000146,8.1e-05,0.002791,5896,FALSE,14,20,15,7,6,9,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0050,1,TRUE,NONE,0.005154,0.003966,8.4e-05,0.002811,5836,FALSE,14,20,15,7,6,9,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0050,2,TRUE,NONE,0.000512,0.000132,8e-05,0.0,4092,TRUE,7,20,15,8,6,10,8,7,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
