model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,0.003169,0.009988,6.4e-05,0.0,4108,FALSE,1,20,15,16,15,24,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,2,FALSE,NONE,0.000218,0.000401,0.000152,0.0,4144,TRUE,185,20,15,17,15,25,27,19,18,0,6,0,3,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0010,3,FALSE,NONE,9.2e-05,4.6e-05,4.3e-05,0.0,3700,TRUE,2,20,15,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0010,4,FALSE,NONE,0.000148,0.000246,0.000205,0.0,4168,TRUE,293,20,15,16,13,24,25,20,20,0,2,0,2,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,5,TRUE,NONE,0.000153,0.000241,0.00011,0.0,4164,TRUE,281,20,15,15,12,23,24,18,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,6,FALSE,NONE,0.000148,0.000331,0.000131,0.0,4200,TRUE,409,20,15,18,15,26,27,23,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2
AirplaneLD-COL-0010,7,TRUE,NONE,0.000199,0.000307,8e-05,0.002092,5880,FALSE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0010,8,FALSE,NONE,0.000157,0.000314,0.000218,0.0,4192,TRUE,1129,20,15,18,15,26,27,26,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0010,9,TRUE,NONE,0.00015,0.000221,0.000101,0.0,4124,TRUE,242,20,15,14,11,20,20,17,17,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,10,TRUE,NONE,0.000189,0.000235,0.000107,0.0,4152,TRUE,125,20,15,15,12,23,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,11,TRUE,NONE,6.7e-05,7.4e-05,3.7e-05,0.0,3700,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,0.000175,0.00029,0.000113,0.0,4172,TRUE,937,20,15,17,15,25,27,24,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0010,13,TRUE,NONE,0.000144,0.000204,8.7e-05,0.002079,5876,FALSE,77,20,15,13,10,19,19,16,15,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0010,14,FALSE,NONE,0.000175,0.000233,0.000103,0.002317,5876,FALSE,57,20,15,12,10,18,19,14,14,1,1,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0010,15,TRUE,NONE,0.000138,0.00037,0.000121,0.0,4176,TRUE,489,20,15,18,15,26,27,23,22,0,3,0,2,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0010,16,TRUE,NONE,0.000212,0.000323,0.000116,0.0,4204,TRUE,937,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,1,FALSE,NONE,0.001674,0.003968,0.000117,0.003046,6088,FALSE,681,20,15,16,15,24,27,22,24,0,2,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,2,FALSE,NONE,0.000196,0.000265,0.00014,0.0,4140,TRUE,185,20,15,16,15,24,27,18,18,0,6,0,3,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,3,TRUE,NONE,0.00017,0.000264,0.000103,0.0,4144,TRUE,149,20,15,16,11,24,23,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0020,4,FALSE,NONE,0.000177,0.000246,0.000128,0.002056,6044,FALSE,77,20,15,15,12,23,24,16,15,0,4,0,2,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0020,5,TRUE,NONE,5.6e-05,6e-05,4.7e-05,0.0,3676,TRUE,1,20,15,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,0.000201,0.000253,0.000128,0.001909,5864,FALSE,29,20,15,12,9,18,18,12,11,0,3,0,1,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0020,7,FALSE,NONE,0.00022,0.000326,0.000136,0.0,4188,TRUE,1129,20,15,16,15,24,27,24,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,8,FALSE,NONE,6.3e-05,6.1e-05,4.2e-05,0.0,3680,TRUE,1,20,15,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,0.000146,0.000287,0.000113,0.0,4160,TRUE,281,20,15,15,13,21,24,20,20,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
AirplaneLD-COL-0020,10,FALSE,NONE,0.000154,0.000255,0.000173,0.0,4164,TRUE,217,20,15,16,12,24,24,19,19,0,2,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0020,11,TRUE,NONE,8.5e-05,0.000111,5.1e-05,0.0,3684,TRUE,1,20,15,5,3,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.000228,0.000331,0.000117,0.0,4136,TRUE,185,20,15,16,15,24,27,18,18,0,6,0,3,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,13,TRUE,NONE,0.00019,0.000262,0.000118,0.00259,5864,FALSE,809,20,15,16,15,24,27,23,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0020,14,FALSE,NONE,0.00017,0.000289,0.000121,0.0,4168,TRUE,297,20,15,16,14,24,26,21,21,0,2,0,2,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0020,15,TRUE,NONE,0.000146,0.000323,0.000103,0.0,4192,TRUE,809,20,15,18,15,26,27,25,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
AirplaneLD-COL-0020,16,FALSE,NONE,0.000123,0.000104,4.9e-05,0.001953,5864,FALSE,14,20,15,7,6,9,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0050,1,TRUE,NONE,0.000142,0.000129,5.7e-05,0.001926,5880,FALSE,14,20,15,7,6,9,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0050,2,TRUE,NONE,0.000118,0.000119,5.2e-05,0.0,4080,TRUE,7,20,15,8,6,10,8,7,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
AirplaneLD-COL-0050,3,FALSE,NONE,0.000255,0.000269,0.000127,0.0,4176,TRUE,409,20,15,16,15,24,27,21,22,0,3,0,2,0,0,0,0,0,1,0,0,0,0,3
AirplaneLD-COL-0050,4,FALSE,NONE,0.000147,0.000168,7.7e-05,0.0,4080,TRUE,13,20,15,10,7,14,13,10,8,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1
AirplaneLD-COL-0050,5,TRUE,NONE,0.000242,0.000293,7.3e-05,0.0,3748,TRUE,29,20,15,12,9,16,15,11,10,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2
AirplaneLD-COL-0050,6,FALSE,NONE,0.000242,0.000252,0.000124,0.0,3748,TRUE,17,20,15,15,11,23,23,11,9,0,8,0,3,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0050,7,FALSE,NONE,0.000249,0.000242,0.000133,0.0,4120,TRUE,29,20,15,15,11,23,23,13,11,0,6,0,2,0,0,0,0,1,1,0,0,0,0,3
AirplaneLD-COL-0050,8,FALSE,NONE,0.000119,9.5e-05,4.4e-05,0.0,4080,TRUE,7,20,15,6,5,8,7,6,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
AirplaneLD-COL-0050,9,TRUE,NONE,0.000177,0.000168,6.6e-05,0.0,4132,TRUE,69,20,15,9,9,13,15,13,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
AirplaneLD-COL-0050,10,FALSE,NONE,0.000103,8.6e-05,4.1e-05,0.0,4064,TRUE,4,20,15,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
