model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5,rule 6
AirplaneLD-COL-0010,1,TRUE,NONE,0.001623,0.002499,0.0001,0.0,3696,TRUE,2,20,15,14,15,18,6,5,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-0010,2,FALSE,NONE,2.8e-05,0.000167,6.3e-05,0.0,3684,TRUE,1,20,15,13,15,15,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-0010,3,FALSE,NONE,2.9e-05,0.000166,5.1e-05,0.0,3692,TRUE,2,20,15,14,15,16,3,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-0010,4,FALSE,NONE,2.6e-05,0.000222,6e-05,0.0,3732,TRUE,0,20,15,15,15,21,14,9,9,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-0010,5,TRUE,NONE,1.8e-05,0.000328,0.000175,0.0,4168,TRUE,0,20,15,18,15,26,27,16,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0
AirplaneLD-COL-0010,6,FALSE,NONE,2.9e-05,0.000228,7.8e-05,0.0,4096,TRUE,0,20,15,15,15,21,9,9,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-0010,7,FALSE,NONE,2.2e-05,0.000177,0.000121,0.0,4132,TRUE,0,20,15,14,15,16,8,11,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-0010,8,FALSE,NONE,2e-05,0.000346,0.000142,0.0,4200,TRUE,0,20,15,17,15,25,27,23,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
AirplaneLD-COL-0010,9,TRUE,NONE,2.2e-05,0.000222,0.000114,0.0,3732,TRUE,8,20,15,16,15,22,14,8,4,1,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-0010,10,TRUE,NONE,2.3e-05,7.6e-05,5.6e-05,0.0,3708,TRUE,1,20,15,12,15,12,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
