model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,NONE,V,0.006142,0.024257,6.4e-05,0.0,4092,FALSE,1,20,15,19,15,27,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,2,FALSE,NONE,0.000139,0.000399,0.00021,0.0,4116,TRUE,185,20,15,19,15,27,27,19,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,3,FALSE,NONE,5.3e-05,9.4e-05,5.5e-05,0.0,3664,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,8.9e-05,0.000319,0.000176,0.0,4132,TRUE,293,20,15,18,13,26,25,20,20,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,8.5e-05,0.000309,0.000168,0.0,4128,TRUE,281,20,15,18,12,26,24,18,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,6,FALSE,NONE,7.2e-05,0.000418,0.000224,0.0,4164,TRUE,409,20,15,20,15,28,27,23,22,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0010,7,TRUE,NONE,0.000149,0.000419,0.000174,0.0028,5844,FALSE,1129,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,8,FALSE,NONE,0.000136,0.000309,0.000141,0.0,4156,TRUE,1129,20,15,19,15,27,27,26,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,9.4e-05,0.00028,0.000102,0.0,4016,TRUE,242,20,15,16,11,22,22,17,17,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,10,TRUE,NONE,0.000119,0.00035,0.000155,0.0,4116,TRUE,125,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,4.8e-05,8.3e-05,5.3e-05,0.0,3668,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,0.000117,0.00035,0.00019,0.0,4136,TRUE,937,20,15,19,15,27,27,24,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,0.000104,0.000293,0.000158,0.002354,5844,FALSE,77,20,15,15,10,21,19,16,15,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,14,FALSE,NONE,9.6e-05,0.000266,0.00015,0.002758,5844,FALSE,57,20,15,15,10,21,19,14,14,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,15,TRUE,NONE,0.000113,0.000357,0.000218,0.0,4140,TRUE,489,20,15,19,15,27,27,23,22,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,0.000164,0.000456,0.000189,0.0,4160,TRUE,937,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,0.006111,0.024186,0.000216,0.003108,5828,FALSE,681,20,15,19,15,27,27,22,24,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,2,FALSE,NONE,0.000164,0.000492,0.000211,0.0,4116,TRUE,185,20,15,19,15,27,27,18,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,3,TRUE,NONE,8.7e-05,0.00027,0.00017,0.0,4124,TRUE,149,20,15,18,11,26,23,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,4,FALSE,NONE,0.000115,0.000339,0.000192,0.003335,6024,FALSE,77,20,15,18,12,26,24,16,15,0,4,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,5,TRUE,NONE,5.6e-05,9.9e-05,4.4e-05,0.0,3664,TRUE,1,20,15,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,6,TRUE,NONE,9.1e-05,0.00023,0.0001,0.002586,5844,FALSE,29,20,15,15,9,21,18,12,11,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,NONE,0.000114,0.000346,0.000157,0.0,4164,TRUE,1129,20,15,19,15,27,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,8,FALSE,NONE,5e-05,8.2e-05,3.6e-05,0.0,3660,TRUE,1,20,15,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,9,TRUE,NONE,9e-05,0.000315,0.000128,0.0,4140,TRUE,281,20,15,16,13,22,24,20,20,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,NONE,9.2e-05,0.000324,0.000125,0.0,4140,TRUE,217,20,15,18,12,26,24,19,19,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,11,TRUE,NONE,5.1e-05,9.5e-05,3.9e-05,0.0,3668,TRUE,1,20,15,5,3,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.000112,0.000304,0.00021,0.0,4120,TRUE,185,20,15,19,15,27,27,18,18,0,6,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,NONE,0.000124,0.000341,0.00012,0.001908,6108,FALSE,809,20,15,19,15,27,27,23,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,14,FALSE,NONE,0.000109,0.000288,0.00015,0.0,4148,TRUE,297,20,15,18,14,26,26,21,21,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,15,TRUE,NONE,0.000124,0.00035,0.000194,0.0,4168,TRUE,809,20,15,19,15,27,27,25,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0020,16,FALSE,NONE,8.1e-05,0.000139,5.7e-05,0.002855,5844,FALSE,14,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,1,TRUE,NONE,0.006124,0.024391,8.1e-05,0.002982,5816,FALSE,14,20,15,9,6,11,8,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,2,TRUE,NONE,8.1e-05,0.00014,8.4e-05,0.0,4044,TRUE,7,20,15,9,6,11,8,7,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,3,FALSE,NONE,0.000137,0.000346,0.00021,0.0,4140,TRUE,409,20,15,19,15,27,27,21,22,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,4,FALSE,NONE,8.3e-05,0.000189,0.000121,0.0,4044,TRUE,13,20,15,11,7,15,13,10,8,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,5,TRUE,NONE,9.2e-05,0.000251,0.000142,0.0,3716,TRUE,29,20,15,14,9,18,15,11,10,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,6,FALSE,NONE,0.000111,0.000346,0.000218,0.0,3716,TRUE,17,20,15,18,11,26,23,11,9,0,8,0,3,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,7,FALSE,NONE,9.6e-05,0.000305,0.000177,0.0,4080,TRUE,29,20,15,18,11,26,23,13,11,0,6,0,2,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,8,FALSE,NONE,7.8e-05,0.000145,5.1e-05,0.0,4044,TRUE,7,20,15,7,5,9,7,6,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,9,TRUE,NONE,7.8e-05,0.000194,9.9e-05,0.0,4044,TRUE,69,20,15,11,9,15,15,13,14,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,10,FALSE,NONE,7.9e-05,0.000106,6.3e-05,0.0,4024,TRUE,4,20,15,4,3,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,11,FALSE,NONE,0.000122,0.000365,0.000107,0.00291,5844,FALSE,121,20,15,18,12,26,24,17,17,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,12,FALSE,NONE,7.5e-05,0.000119,5.6e-05,0.0,3680,TRUE,4,20,15,4,3,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AirplaneLD-COL-0050,13,TRUE,NONE,9.8e-05,0.000215,0.000137,0.0,4100,TRUE,132,20,15,14,10,18,16,14,13,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
